Educational Level,Total population,Total Citizen Population,Total Number Registered,Number not Registered
Less than 9th grade,"9,761","5,643","2,389","2,081"
"9th to 12th grade, no diploma","17,727","14,715","6,906","4,862"
High school graduate,"71,322","65,518","40,983","13,520"
Some college or associate's degree,"69,935","66,809","48,845","8,198"
Bachelor's degree,"49,526","46,317","37,270","2,974"
Advanced degree,"27,231","25,057","21,203",986
Total,"245,502","224,059","157,596","32,622"
,,,,
,,,,
,,,,
