,case_identifier,inputstate_2016,healthcov2_2016,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
0,779,California,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Widowed,Prefer not to say,Hillary Clinton
1,2108,Arizona,I have private insurance or belong to an HMO.,Some college,Married,"$60,000 - $69,999",Donald Trump
2,2597,Wisconsin,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Single,"$50,000 - $59,999",Hillary Clinton
3,4148,Oklahoma,I have private insurance or belong to an HMO.,Some college,Divorced,"$70,000 - $79,999",Gary Johnson
4,4460,Texas,Other,4-year,Married,"$40,000 - $49,999",Donald Trump
5,5225,California,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Married,"$30,000 - $39,999",Hillary Clinton
6,5903,Kentucky,I have private insurance or belong to an HMO.,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
7,6059,Wisconsin,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,Prefer not to say,Donald Trump
8,8048,California,I have private insurance or belong to an HMO.,4-year,Married,"$200,000 - $249,999",Hillary Clinton
9,9869,Vermont,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Divorced,"$20,000 - $29,999",Hillary Clinton
10,13112,Pennsylvania,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
11,14087,Florida,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
12,14474,Washington,I have private insurance or belong to an HMO.,4-year,Married,"$200,000 - $249,999",Donald Trump
13,14507,Washington,Other,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
14,15464,Nebraska,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Divorced,"$40,000 - $49,999",Hillary Clinton
15,20459,Washington,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Hillary Clinton
16,25193,California,I have private insurance or belong to an HMO.,4-year,Married,"$40,000 - $49,999",Hillary Clinton
17,27599,Tennessee,I have private insurance or belong to an HMO.,4-year,Married,"$20,000 - $29,999",Donald Trump
18,2035940,Massachusetts,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$200,000 - $249,999",Hillary Clinton
19,6000479,Nevada,I have private insurance or belong to an HMO.,Some college,Single,"$50,000 - $59,999",Hillary Clinton
20,6000794,Pennsylvania,I have private insurance or belong to an HMO.,Post-grad,Married,"$100,000 - $119,999",Donald Trump
21,6001082,Maryland,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Single,"$40,000 - $49,999",Hillary Clinton
22,6002069,California,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Single,"$10,000 - $19,999",Donald Trump
23,6004538,California,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Other
24,6006515,California,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Donald Trump
25,6008999,California,I have private insurance or belong to an HMO.,4-year,Single,"$120,000 - $149,999",Donald Trump
26,6009677,Colorado,I have private insurance or belong to an HMO.,Some college,Married,"$150,000 or more",Gary Johnson
27,6010778,Oklahoma,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,Prefer not to say,Hillary Clinton
28,6013199,Arizona,Other,Some college,Divorced,"$60,000 - $69,999",Donald Trump
29,6014066,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,Prefer not to say,Hillary Clinton
30,6014345,Arizona,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Hillary Clinton
31,6015176,Arizona,I have private insurance or belong to an HMO.,High school graduate,Married,"$20,000 - $29,999",Donald Trump
32,6018461,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Married,"$40,000 - $49,999",Donald Trump
33,6020087,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Divorced,"$30,000 - $39,999",Donald Trump
34,6021503,Arizona,I have private insurance or belong to an HMO.,2-year,Married,"$60,000 - $69,999",Hillary Clinton
35,6022898,Arizona,Other,Post-grad,Married,Prefer not to say,Donald Trump
36,6023987,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Married,"$100,000 - $119,999",Donald Trump
37,6024683,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Divorced,"$10,000 - $19,999",Donald Trump
38,6026186,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$70,000 - $79,999",Hillary Clinton
39,6026195,Colorado,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Divorced,"$10,000 - $19,999",Hillary Clinton
40,6026246,Arizona,I have private insurance or belong to an HMO.,High school graduate,Single,"$20,000 - $29,999",Hillary Clinton
41,6026537,Arizona,,4-year,Married,Prefer not to say,Donald Trump
42,6028715,Arizona,I have private insurance or belong to an HMO.,2-year,Married,"$60,000 - $69,999",Donald Trump
43,6032768,Arkansas,I have private insurance or belong to an HMO.,Some college,Married,"$150,000 - $199,999",Donald Trump
44,6033338,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$20,000 - $29,999",Donald Trump
45,6035645,Mississippi,I have private insurance or belong to an HMO.,High school graduate,Single,Prefer not to say,Donald Trump
46,6036608,New York,,4-year,Married,"$100,000 - $119,999",Hillary Clinton
47,6038444,Texas,I have private insurance or belong to an HMO.,4-year,Divorced,"$70,000 - $79,999",Hillary Clinton
48,6041060,Illinois,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Widowed,"$20,000 - $29,999",Donald Trump
49,6046208,Oregon,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$150,000 - $199,999",Donald Trump
50,6048548,California,I have private insurance or belong to an HMO.,4-year,Single,Prefer not to say,Hillary Clinton
51,6051575,Georgia,I have private insurance or belong to an HMO.,2-year,Married,"$80,000 - $99,999",Hillary Clinton
52,6054065,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Domestic partnership,"$60,000 - $69,999",Hillary Clinton
53,6057581,Washington,I have private insurance or belong to an HMO.,2-year,Married,"$150,000 - $199,999",Donald Trump
54,6059078,Nevada,I have private insurance or belong to an HMO.,High school graduate,Married,Prefer not to say,Donald Trump
55,6061217,Illinois,I have private insurance or belong to an HMO.,Some college,Married,"$70,000 - $79,999",Donald Trump
56,6061877,California,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Divorced,"$50,000 - $59,999",Hillary Clinton
57,6061937,California,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Hillary Clinton
58,6062156,Washington,I have private insurance or belong to an HMO.,Post-grad,Married,Prefer not to say,Hillary Clinton
59,6063833,Virginia,I have private insurance or belong to an HMO.,Post-grad,Married,Prefer not to say,Hillary Clinton
60,6064967,New Mexico,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Hillary Clinton
61,6067322,Colorado,,Post-grad,Single,Prefer not to say,Hillary Clinton
62,6067754,New Hampshire,I have private insurance or belong to an HMO.,Post-grad,Married,"$60,000 - $69,999",Donald Trump
63,6070919,California,I have private insurance or belong to an HMO.,Post-grad,Married,"$250,000 - $349,999",Donald Trump
64,6072560,California,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Divorced,"$150,000 - $199,999",Hillary Clinton
65,6073346,Ohio,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 or more",Hillary Clinton
66,6074072,Massachusetts,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Widowed,"$10,000 - $19,999",Hillary Clinton
67,6079028,California,I have private insurance or belong to an HMO.,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
68,6079631,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",2-year,Single,Prefer not to say,Hillary Clinton
69,6081782,Florida,I have private insurance or belong to an HMO.,2-year,Married,"$120,000 - $149,999",Hillary Clinton
70,6082415,California,I have private insurance or belong to an HMO.,4-year,Married,"$120,000 - $149,999",Hillary Clinton
71,6082955,California,I have private insurance or belong to an HMO.,4-year,Domestic partnership,"$250,000 - $349,999",Hillary Clinton
72,6084239,Pennsylvania,I have private insurance or belong to an HMO.,2-year,Married,"$50,000 - $59,999",Hillary Clinton
73,6085712,New Jersey,I have private insurance or belong to an HMO.,2-year,Married,"$40,000 - $49,999",Donald Trump
74,6086672,Washington,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$70,000 - $79,999",Donald Trump
75,6086936,Florida,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 or more",Hillary Clinton
76,6088319,California,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$150,000 or more",Hillary Clinton
77,6088628,Indiana,I have private insurance or belong to an HMO.,4-year,Married,"$50,000 - $59,999",Hillary Clinton
78,6089561,New Hampshire,I have private insurance or belong to an HMO.,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
79,6095012,Virginia,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$80,000 - $99,999",Donald Trump
80,6095318,New York,I have private insurance or belong to an HMO.,4-year,Married,"$200,000 - $249,999",Hillary Clinton
81,6095753,North Carolina,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$40,000 - $49,999",Donald Trump
82,6095852,Iowa,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Married,"$60,000 - $69,999",Hillary Clinton
83,6098411,Florida,I have private insurance or belong to an HMO.,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
84,6100238,North Carolina,I have private insurance or belong to an HMO.,Post-grad,Divorced,"$150,000 - $199,999",Hillary Clinton
85,6100907,New York,I have private insurance or belong to an HMO.,Post-grad,Single,"$70,000 - $79,999",Donald Trump
86,6106253,Pennsylvania,I have private insurance or belong to an HMO.,High school graduate,Married,"$100,000 - $119,999",Donald Trump
87,6108272,New York,I have private insurance or belong to an HMO.,Post-grad,Single,"$70,000 - $79,999",Hillary Clinton
88,6109619,New York,I have private insurance or belong to an HMO.,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
89,6110054,Massachusetts,I have private insurance or belong to an HMO.,4-year,Married,Prefer not to say,Other
90,6110435,Virginia,I have private insurance or belong to an HMO.,4-year,Married,"$150,000 - $199,999",Hillary Clinton
91,6110906,Indiana,I have private insurance or belong to an HMO.,Post-grad,Married,"$70,000 - $79,999",Donald Trump
92,6111152,Indiana,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Divorced,"$20,000 - $29,999",Donald Trump
93,6112508,California,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Widowed,"$80,000 - $99,999",Hillary Clinton
94,6114890,Maine,I have private insurance or belong to an HMO.,4-year,Married,"$100,000 - $119,999",Donald Trump
95,6116483,Nevada,I have private insurance or belong to an HMO.,Post-grad,Married,"$120,000 - $149,999",Donald Trump
96,6116600,Arizona,I have private insurance or belong to an HMO.,Some college,Married,"$120,000 - $149,999",Hillary Clinton
97,6116972,Maryland,I have private insurance or belong to an HMO.,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
98,6117203,Oregon,"I'm covered by a government plan, such as Medicare or Medicaid.",Post-grad,Married,"$40,000 - $49,999",Hillary Clinton
99,6117347,Alabama,I have private insurance or belong to an HMO.,4-year,Divorced,"$70,000 - $79,999",Jill Stein
100,6120266,California,I have private insurance or belong to an HMO.,Post-grad,Single,"$70,000 - $79,999",Hillary Clinton
101,6124499,Florida,I have private insurance or belong to an HMO.,4-year,Single,"$350,000 - $499,999",Hillary Clinton
102,6125228,West Virginia,I have private insurance or belong to an HMO.,Some college,Single,Prefer not to say,Hillary Clinton
103,6126617,Massachusetts,"I'm covered by a government plan, such as Medicare or Medicaid.",High school graduate,Widowed,"$30,000 - $39,999",Donald Trump
104,6128693,Minnesota,I have private insurance or belong to an HMO.,Post-grad,Single,"$40,000 - $49,999",Evan McMullin
105,6129137,Arizona,"I'm covered by a government plan, such as Medicare or Medicaid.",4-year,Married,"$50,000 - $59,999",Donald Trump
106,6135863,Delaware,I have private insurance or belong to an HMO.,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
107,6137867,Florida,Other,No HS,Single,"$30,000 - $39,999",
108,6137984,Utah,"I'm covered by a government plan, such as Medicare or Medicaid.",Some college,Divorced,Prefer not to say,Hillary Clinton
