,case_identifier,inputstate_2016,healthcov2_2,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
0,779,California,,4-year,Widowed,Prefer not to say,Hillary Clinton
1,2108,Arizona,,Some college,Married,"$60,000 - $69,999",Donald Trump
2,2597,Wisconsin,,High school graduate,Single,"$50,000 - $59,999",Hillary Clinton
3,4148,Oklahoma,,Some college,Divorced,"$70,000 - $79,999",Gary Johnson
4,4460,Texas,,4-year,Married,"$40,000 - $49,999",Donald Trump
5,5225,California,,2-year,Married,"$30,000 - $39,999",Hillary Clinton
6,5903,Kentucky,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
7,6059,Wisconsin,,High school graduate,Married,Prefer not to say,Donald Trump
8,8048,California,,4-year,Married,"$200,000 - $249,999",Hillary Clinton
9,9869,Vermont,,Some college,Divorced,"$20,000 - $29,999",Hillary Clinton
10,13112,Pennsylvania,,Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
11,14087,Florida,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
12,14474,Washington,,4-year,Married,"$200,000 - $249,999",Donald Trump
13,14507,Washington,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
14,15464,Nebraska,,Post-grad,Divorced,"$40,000 - $49,999",Hillary Clinton
15,20459,Washington,,4-year,Married,Prefer not to say,Hillary Clinton
16,25193,California,,4-year,Married,"$40,000 - $49,999",Hillary Clinton
17,27599,Tennessee,,4-year,Married,"$20,000 - $29,999",Donald Trump
18,2035940,Massachusetts,,4-year,Married,"$200,000 - $249,999",Hillary Clinton
19,6000479,Nevada,,Some college,Single,"$50,000 - $59,999",Hillary Clinton
20,6000794,Pennsylvania,,Post-grad,Married,"$100,000 - $119,999",Donald Trump
21,6001082,Maryland,,Some college,Single,"$40,000 - $49,999",Hillary Clinton
22,6002069,California,,4-year,Single,"$10,000 - $19,999",Donald Trump
23,6004538,California,,4-year,Married,"$150,000 - $199,999",Other
24,6006515,California,,4-year,Married,"$150,000 - $199,999",Donald Trump
25,6008999,California,,4-year,Single,"$120,000 - $149,999",Donald Trump
26,6009677,Colorado,,Some college,Married,"$150,000 or more",Gary Johnson
27,6010778,Oklahoma,,4-year,Married,Prefer not to say,Hillary Clinton
28,6013199,Arizona,,Some college,Divorced,"$60,000 - $69,999",Donald Trump
29,6014066,Arizona,,4-year,Married,Prefer not to say,Hillary Clinton
30,6014345,Arizona,,4-year,Married,Prefer not to say,Hillary Clinton
31,6015176,Arizona,,High school graduate,Married,"$20,000 - $29,999",Donald Trump
32,6018461,Arizona,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
33,6020087,Arizona,,Post-grad,Divorced,"$30,000 - $39,999",Donald Trump
34,6021503,Arizona,,2-year,Married,"$60,000 - $69,999",Hillary Clinton
35,6022898,Arizona,,Post-grad,Married,Prefer not to say,Donald Trump
36,6023987,Arizona,,2-year,Married,"$100,000 - $119,999",Donald Trump
37,6024683,Arizona,,Some college,Divorced,"$10,000 - $19,999",Donald Trump
38,6026186,Arizona,,4-year,Married,"$70,000 - $79,999",Hillary Clinton
39,6026195,Colorado,,Some college,Divorced,"$10,000 - $19,999",Hillary Clinton
40,6026246,Arizona,,High school graduate,Single,"$20,000 - $29,999",Hillary Clinton
41,6026537,Arizona,,4-year,Married,Prefer not to say,Donald Trump
42,6028715,Arizona,,2-year,Married,"$60,000 - $69,999",Donald Trump
43,6032768,Arkansas,,Some college,Married,"$150,000 - $199,999",Donald Trump
44,6033338,Arizona,,4-year,Married,"$20,000 - $29,999",Donald Trump
45,6035645,Mississippi,,High school graduate,Single,Prefer not to say,Donald Trump
46,6036608,New York,,4-year,Married,"$100,000 - $119,999",Hillary Clinton
47,6038444,Texas,,4-year,Divorced,"$70,000 - $79,999",Hillary Clinton
48,6041060,Illinois,,High school graduate,Widowed,"$20,000 - $29,999",Donald Trump
49,6046208,Oregon,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
50,6048548,California,,4-year,Single,Prefer not to say,Hillary Clinton
51,6051575,Georgia,,2-year,Married,"$80,000 - $99,999",Hillary Clinton
52,6054065,Arizona,,2-year,Domestic partnership,"$60,000 - $69,999",Hillary Clinton
53,6057581,Washington,,2-year,Married,"$150,000 - $199,999",Donald Trump
54,6059078,Nevada,,High school graduate,Married,Prefer not to say,Donald Trump
55,6061217,Illinois,,Some college,Married,"$70,000 - $79,999",Donald Trump
56,6061877,California,,4-year,Divorced,"$50,000 - $59,999",Hillary Clinton
57,6061937,California,,4-year,Married,Prefer not to say,Hillary Clinton
58,6062156,Washington,,Post-grad,Married,Prefer not to say,Hillary Clinton
59,6063833,Virginia,,Post-grad,Married,Prefer not to say,Hillary Clinton
60,6064967,New Mexico,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
61,6067322,Colorado,,Post-grad,Single,Prefer not to say,Hillary Clinton
62,6067754,New Hampshire,,Post-grad,Married,"$60,000 - $69,999",Donald Trump
63,6070919,California,,Post-grad,Married,"$250,000 - $349,999",Donald Trump
64,6072560,California,,Post-grad,Divorced,"$150,000 - $199,999",Hillary Clinton
65,6073346,Ohio,,4-year,Married,"$150,000 or more",Hillary Clinton
66,6074072,Massachusetts,,High school graduate,Widowed,"$10,000 - $19,999",Hillary Clinton
67,6079028,California,,Post-grad,Married,"$120,000 - $149,999",Hillary Clinton
68,6079631,Arizona,,2-year,Single,Prefer not to say,Hillary Clinton
